"rownames","affairs","gender","age","yearsmarried","children","religiousness","education","occupation","rating","has_affair","has_affair_num","affair_cat","rating_factor","religious_factor","happy_bin"
865,0,"Nữ",22,0.417,"Có con",3,14,3,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
867,0,"Nữ",27,7,"Có con",4,14,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
870,0,"Nam",27,0.75,"Không có con",3,16,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
873,0,"Nam",27,4,"Có con",2,20,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
875,0,"Nam",32,10,"Có con",4,16,4,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
876,0,"Nam",32,15,"Có con",1,14,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","1-Không","Hạnh phúc"
877,0,"Nam",22,0.75,"Không có con",3,17,4,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
880,0,"Nữ",27,7,"Có con",4,17,1,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
903,0,"Nam",27,0.417,"Có con",4,20,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
904,0,"Nam",37,15,"Có con",4,20,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
905,0,"Nữ",37,15,"Có con",2,14,1,3,"Không",0,"Không (0 lần)","3-Trung bình","2-Hơi tôn giáo","Bất hạnh"
908,0,"Nam",22,4,"Có con",1,18,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","1-Không","Hạnh phúc"
909,0,"Nam",37,15,"Có con",4,17,5,3,"Không",0,"Không (0 lần)","3-Trung bình","4-Tôn giáo","Bất hạnh"
910,0,"Nữ",22,1.5,"Không có con",2,14,4,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
912,0,"Nam",52,15,"Có con",4,14,6,2,"Không",0,"Không (0 lần)","2-Bất hạnh","4-Tôn giáo","Bất hạnh"
914,0,"Nữ",22,1.5,"Không có con",4,17,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
915,0,"Nam",32,4,"Có con",5,14,3,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
916,0,"Nam",32,4,"Có con",2,14,3,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
920,0,"Nữ",22,1.5,"Không có con",3,16,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
921,0,"Nam",27,0.75,"Không có con",2,18,3,3,"Không",0,"Không (0 lần)","3-Trung bình","2-Hơi tôn giáo","Bất hạnh"
925,0,"Nữ",22,7,"Có con",2,14,5,2,"Không",0,"Không (0 lần)","2-Bất hạnh","2-Hơi tôn giáo","Bất hạnh"
926,0,"Nữ",27,0.75,"Không có con",2,17,5,3,"Không",0,"Không (0 lần)","3-Trung bình","2-Hơi tôn giáo","Bất hạnh"
929,0,"Nữ",37,15,"Có con",4,12,1,2,"Không",0,"Không (0 lần)","2-Bất hạnh","4-Tôn giáo","Bất hạnh"
931,0,"Nữ",22,1.5,"Không có con",1,14,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","1-Không","Hạnh phúc"
945,0,"Nữ",37,10,"Không có con",2,12,4,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
947,0,"Nữ",37,15,"Có con",4,18,5,3,"Không",0,"Không (0 lần)","3-Trung bình","4-Tôn giáo","Bất hạnh"
949,0,"Nữ",42,15,"Có con",3,12,3,3,"Không",0,"Không (0 lần)","3-Trung bình","3-Trung bình","Bất hạnh"
950,0,"Nam",22,4,"Không có con",2,18,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
961,0,"Nam",52,7,"Có con",2,20,6,2,"Không",0,"Không (0 lần)","2-Bất hạnh","2-Hơi tôn giáo","Bất hạnh"
965,0,"Nam",27,0.75,"Không có con",2,17,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
966,0,"Nữ",27,4,"Không có con",2,17,4,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
967,0,"Nam",42,1.5,"Không có con",5,20,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
987,0,"Nam",22,1.5,"Không có con",4,17,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
990,0,"Nam",22,4,"Không có con",4,17,5,3,"Không",0,"Không (0 lần)","3-Trung bình","4-Tôn giáo","Bất hạnh"
992,0,"Nữ",22,4,"Có con",1,14,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","1-Không","Hạnh phúc"
995,0,"Nam",37,15,"Có con",5,20,4,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
1009,0,"Nữ",37,10,"Có con",3,16,6,3,"Không",0,"Không (0 lần)","3-Trung bình","3-Trung bình","Bất hạnh"
1021,0,"Nam",42,15,"Có con",4,17,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1026,0,"Nữ",47,15,"Có con",4,17,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1027,0,"Nam",22,1.5,"Không có con",4,16,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1030,0,"Nữ",32,10,"Có con",3,12,1,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
1031,0,"Nữ",22,7,"Có con",1,14,3,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","1-Không","Hạnh phúc"
1034,0,"Nữ",32,10,"Có con",4,17,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1037,0,"Nam",27,1.5,"Có con",2,16,2,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1038,0,"Nam",37,15,"Có con",4,14,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1039,0,"Nam",42,4,"Có con",3,14,4,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
1045,0,"Nữ",37,15,"Có con",5,14,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
1046,0,"Nữ",32,7,"Có con",4,17,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1054,0,"Nữ",42,15,"Có con",4,18,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1059,0,"Nam",27,4,"Không có con",4,18,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1063,0,"Nam",22,0.75,"Không có con",4,18,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1068,0,"Nam",27,4,"Có con",4,14,5,3,"Không",0,"Không (0 lần)","3-Trung bình","4-Tôn giáo","Bất hạnh"
1070,0,"Nữ",22,0.75,"Không có con",5,18,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
1072,0,"Nữ",52,15,"Có con",5,9,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
1073,0,"Nam",32,10,"Có con",3,14,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
1077,0,"Nữ",37,15,"Có con",4,16,4,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1081,0,"Nam",32,7,"Có con",2,20,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1083,0,"Nữ",42,15,"Có con",3,18,1,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
1084,0,"Nam",32,15,"Có con",1,16,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","1-Không","Hạnh phúc"
1086,0,"Nam",27,4,"Có con",3,18,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
1087,0,"Nữ",32,15,"Có con",4,12,3,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1089,0,"Nam",22,0.75,"Có con",3,14,2,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
1096,0,"Nữ",22,1.5,"Không có con",3,16,5,3,"Không",0,"Không (0 lần)","3-Trung bình","3-Trung bình","Bất hạnh"
1102,0,"Nữ",42,15,"Có con",4,14,3,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1103,0,"Nữ",52,15,"Có con",3,16,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
1107,0,"Nam",37,15,"Có con",5,20,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
1109,0,"Nữ",47,15,"Có con",4,12,2,3,"Không",0,"Không (0 lần)","3-Trung bình","4-Tôn giáo","Bất hạnh"
1115,0,"Nam",57,15,"Có con",2,20,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1119,0,"Nam",32,7,"Có con",4,17,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1124,0,"Nữ",27,7,"Có con",4,17,1,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1126,0,"Nam",22,1.5,"Không có con",1,18,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","1-Không","Hạnh phúc"
1128,0,"Nữ",22,4,"Có con",3,9,1,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
1129,0,"Nữ",22,1.5,"Không có con",2,14,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1130,0,"Nam",42,15,"Có con",2,20,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1133,0,"Nam",57,15,"Có con",4,9,2,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1140,0,"Nữ",27,7,"Có con",2,18,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1143,0,"Nữ",22,4,"Có con",3,14,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
1146,0,"Nam",37,15,"Có con",4,14,5,3,"Không",0,"Không (0 lần)","3-Trung bình","4-Tôn giáo","Bất hạnh"
1153,0,"Nam",32,7,"Có con",1,18,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","1-Không","Hạnh phúc"
1156,0,"Nữ",22,1.5,"Không có con",2,14,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1157,0,"Nữ",22,1.5,"Có con",3,12,1,3,"Không",0,"Không (0 lần)","3-Trung bình","3-Trung bình","Bất hạnh"
1158,0,"Nam",52,15,"Có con",2,14,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1160,0,"Nữ",37,15,"Có con",2,14,1,1,"Không",0,"Không (0 lần)","1-Rất bất hạnh","2-Hơi tôn giáo","Bất hạnh"
1161,0,"Nữ",32,10,"Có con",2,14,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1166,0,"Nam",42,15,"Có con",4,20,4,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1177,0,"Nữ",27,4,"Có con",3,18,4,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
1178,0,"Nam",37,15,"Có con",4,20,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1180,0,"Nam",27,1.5,"Không có con",3,18,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
1187,0,"Nữ",22,0.125,"Không có con",2,16,6,3,"Không",0,"Không (0 lần)","3-Trung bình","2-Hơi tôn giáo","Bất hạnh"
1191,0,"Nam",32,10,"Có con",2,20,6,3,"Không",0,"Không (0 lần)","3-Trung bình","2-Hơi tôn giáo","Bất hạnh"
1195,0,"Nữ",27,4,"Không có con",4,18,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1207,0,"Nữ",27,7,"Có con",2,12,5,1,"Không",0,"Không (0 lần)","1-Rất bất hạnh","2-Hơi tôn giáo","Bất hạnh"
1208,0,"Nam",32,4,"Có con",5,18,6,3,"Không",0,"Không (0 lần)","3-Trung bình","5-Rất tôn giáo","Bất hạnh"
1209,0,"Nữ",37,15,"Có con",2,17,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1211,0,"Nam",47,15,"Không có con",4,20,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1215,0,"Nam",27,1.5,"Không có con",1,18,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","1-Không","Hạnh phúc"
1221,0,"Nam",37,15,"Có con",4,20,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1226,0,"Nữ",32,15,"Có con",4,18,1,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1229,0,"Nữ",32,7,"Có con",4,17,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1231,0,"Nữ",42,15,"Có con",3,14,1,3,"Không",0,"Không (0 lần)","3-Trung bình","3-Trung bình","Bất hạnh"
1234,0,"Nữ",27,7,"Có con",3,16,1,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
1235,0,"Nam",27,1.5,"Không có con",3,16,4,2,"Không",0,"Không (0 lần)","2-Bất hạnh","3-Trung bình","Bất hạnh"
1242,0,"Nam",22,1.5,"Không có con",3,16,3,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
1245,0,"Nam",27,4,"Có con",3,16,4,2,"Không",0,"Không (0 lần)","2-Bất hạnh","3-Trung bình","Bất hạnh"
1260,0,"Nữ",27,7,"Có con",3,12,1,2,"Không",0,"Không (0 lần)","2-Bất hạnh","3-Trung bình","Bất hạnh"
1266,0,"Nữ",37,15,"Có con",2,18,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1271,0,"Nữ",37,7,"Có con",3,14,4,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
1273,0,"Nam",22,1.5,"Không có con",2,16,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1276,0,"Nam",37,15,"Có con",5,20,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
1280,0,"Nữ",22,1.5,"Không có con",4,16,5,3,"Không",0,"Không (0 lần)","3-Trung bình","4-Tôn giáo","Bất hạnh"
1282,0,"Nữ",32,10,"Có con",4,16,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1285,0,"Nam",27,4,"Không có con",2,17,5,3,"Không",0,"Không (0 lần)","3-Trung bình","2-Hơi tôn giáo","Bất hạnh"
1295,0,"Nữ",22,0.417,"Không có con",4,14,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1298,0,"Nữ",27,4,"Không có con",2,18,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1299,0,"Nam",37,15,"Có con",4,18,5,3,"Không",0,"Không (0 lần)","3-Trung bình","4-Tôn giáo","Bất hạnh"
1304,0,"Nam",37,10,"Có con",5,20,7,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
1305,0,"Nữ",27,7,"Có con",2,14,4,2,"Không",0,"Không (0 lần)","2-Bất hạnh","2-Hơi tôn giáo","Bất hạnh"
1311,0,"Nam",32,4,"Có con",2,16,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1314,0,"Nam",32,4,"Có con",2,16,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1319,0,"Nam",22,1.5,"Không có con",3,18,4,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
1322,0,"Nữ",22,4,"Có con",4,14,3,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1324,0,"Nữ",17.5,0.75,"Không có con",2,18,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1327,0,"Nam",32,10,"Có con",4,20,4,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1328,0,"Nữ",32,0.75,"Không có con",5,14,3,3,"Không",0,"Không (0 lần)","3-Trung bình","5-Rất tôn giáo","Bất hạnh"
1330,0,"Nam",37,15,"Có con",4,17,5,3,"Không",0,"Không (0 lần)","3-Trung bình","4-Tôn giáo","Bất hạnh"
1332,0,"Nam",32,4,"Không có con",3,14,4,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
1333,0,"Nữ",27,1.5,"Không có con",2,17,3,2,"Không",0,"Không (0 lần)","2-Bất hạnh","2-Hơi tôn giáo","Bất hạnh"
1336,0,"Nữ",22,7,"Có con",4,14,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1341,0,"Nam",47,15,"Có con",5,14,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
1344,0,"Nam",27,4,"Có con",1,16,4,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","1-Không","Hạnh phúc"
1352,0,"Nữ",37,15,"Có con",5,14,1,3,"Không",0,"Không (0 lần)","3-Trung bình","5-Rất tôn giáo","Bất hạnh"
1358,0,"Nam",42,4,"Có con",4,18,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1359,0,"Nữ",32,4,"Có con",2,14,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1361,0,"Nam",52,15,"Có con",2,14,7,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1364,0,"Nữ",22,1.5,"Không có con",2,16,1,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1368,0,"Nam",52,15,"Có con",4,12,2,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1384,0,"Nữ",22,0.417,"Không có con",3,17,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
1390,0,"Nữ",22,1.5,"Không có con",2,16,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1393,0,"Nam",27,4,"Có con",4,20,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1394,0,"Nữ",32,15,"Có con",4,14,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1402,0,"Nữ",27,1.5,"Không có con",2,16,3,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1407,0,"Nam",32,4,"Không có con",1,20,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","1-Không","Hạnh phúc"
1408,0,"Nam",37,15,"Có con",3,20,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
1412,0,"Nữ",32,10,"Không có con",2,16,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1413,0,"Nữ",32,10,"Có con",5,14,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
1416,0,"Nam",37,1.5,"Có con",4,18,5,3,"Không",0,"Không (0 lần)","3-Trung bình","4-Tôn giáo","Bất hạnh"
1417,0,"Nam",32,1.5,"Không có con",2,18,4,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1418,0,"Nữ",32,10,"Có con",4,14,1,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1419,0,"Nữ",47,15,"Có con",4,18,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1420,0,"Nữ",27,10,"Có con",5,12,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
1423,0,"Nam",27,4,"Có con",3,16,4,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
1424,0,"Nữ",37,15,"Có con",4,12,4,2,"Không",0,"Không (0 lần)","2-Bất hạnh","4-Tôn giáo","Bất hạnh"
1432,0,"Nữ",27,0.75,"Không có con",4,16,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1433,0,"Nữ",37,15,"Có con",4,16,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1437,0,"Nữ",32,15,"Có con",3,16,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
1438,0,"Nữ",27,10,"Có con",2,16,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1439,0,"Nam",27,7,"Không có con",2,20,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1446,0,"Nữ",37,15,"Có con",2,14,1,3,"Không",0,"Không (0 lần)","3-Trung bình","2-Hơi tôn giáo","Bất hạnh"
1450,0,"Nam",27,1.5,"Có con",2,17,4,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1451,0,"Nữ",22,0.75,"Có con",2,14,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1452,0,"Nam",22,4,"Có con",4,14,2,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1453,0,"Nam",42,0.125,"Không có con",4,17,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1456,0,"Nam",27,1.5,"Có con",4,18,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1464,0,"Nam",27,7,"Có con",3,16,6,3,"Không",0,"Không (0 lần)","3-Trung bình","3-Trung bình","Bất hạnh"
1469,0,"Nữ",52,15,"Có con",4,14,1,3,"Không",0,"Không (0 lần)","3-Trung bình","4-Tôn giáo","Bất hạnh"
1473,0,"Nam",27,1.5,"Không có con",5,20,5,2,"Không",0,"Không (0 lần)","2-Bất hạnh","5-Rất tôn giáo","Bất hạnh"
1481,0,"Nữ",27,1.5,"Không có con",2,16,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1482,0,"Nữ",27,1.5,"Không có con",3,17,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
1496,0,"Nam",22,0.125,"Không có con",5,16,4,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
1497,0,"Nữ",27,4,"Có con",4,16,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1504,0,"Nữ",27,4,"Có con",4,12,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1513,0,"Nữ",47,15,"Có con",2,14,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1515,0,"Nữ",32,15,"Có con",3,14,5,3,"Không",0,"Không (0 lần)","3-Trung bình","3-Trung bình","Bất hạnh"
1534,0,"Nam",42,7,"Có con",2,16,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1535,0,"Nam",22,0.75,"Không có con",4,16,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1536,0,"Nam",27,0.125,"Không có con",3,20,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
1540,0,"Nam",32,10,"Có con",3,20,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
1551,0,"Nữ",22,0.417,"Không có con",5,14,4,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
1555,0,"Nữ",47,15,"Có con",5,14,1,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
1557,0,"Nữ",32,10,"Có con",3,14,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
1566,0,"Nam",57,15,"Có con",4,17,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1567,0,"Nam",27,4,"Có con",3,20,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
1576,0,"Nữ",32,7,"Có con",4,17,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
